case,ring,k_exp,r,lambda_target,variable_count,max_layer_width,poly_dim,message_length,n_0,rho,commit_ms,open_ms,prove_ms,verify_ms,proof_size_bytes,proof_size_kb
gr216_r162_m4_multiquadratic,"GR(2^16,162)",16,162,128,4,3,81,81,189,3/7,81.959947,83.584176,165.544123,60.961831,100516,98.160
gr216_r162_m5_multiquadratic,"GR(2^16,162)",16,162,128,5,3,243,243,513,9/19,609.093765,191.789047,800.882812,117.303290,261560,255.430
gr216_r162_m6_multiquadratic,"GR(2^16,162)",16,162,128,6,3,729,729,1539,9/19,6935.481529,694.091845,7629.573374,292.646410,755404,737.699
gr216_r162_m7_multiquadratic,"GR(2^16,162)",16,162,128,7,3,2187,2187,4617,9/19,108737.303579,3581.296959,112318.600538,938.283296,2291644,2237.934
gr216_r162_m8_multiquadratic,"GR(2^16,162)",16,162,128,8,3,6561,6561,13203,81/163,63228.994056,22865.789300,86094.783356,3155.147318,4814064,4701.234
gr216_r162_m9_multiquadratic,"GR(2^16,162)",16,162,128,9,3,19683,19683,39609,81/163,193031.270229,85987.739933,279019.010162,3792.928744,6131452,5987.746
gr216_r162_m10_multiquadratic,"GR(2^16,162)",16,162,128,10,3,59049,59049,124173,243/511,184194.812528,131481.358360,315676.170888,2467.352745,6901488,6739.734
