case,ring,k_exp,r,lambda_target,variable_count,max_layer_width,poly_dim,message_length,n_0,rho,commit_ms,open_ms,prove_ms,verify_ms,proof_size_bytes,proof_size_kb
gr216_r162_m4_multilinear,"GR(2^16,162)",16,162,128,4,3,16,81,189,3/7,17.78,78.19,95.97,61.12,99220,96.895
gr216_r162_m5_multilinear,"GR(2^16,162)",16,162,128,5,3,32,243,513,9/19,77.01,152.8,229.81,101.9,259940,253.848
gr216_r162_m6_multilinear,"GR(2^16,162)",16,162,128,6,3,64,729,1539,9/19,57.57,468.9,526.47,200.7,753524,735.863
gr216_r162_m7_multilinear,"GR(2^16,162)",16,162,128,7,3,128,2187,4617,9/19,293.6,1539,1832.6,560,2289312,2235.656
gr216_r162_m8_multilinear,"GR(2^16,162)",16,162,128,8,3,256,6561,13203,81/163,8408,7280,15688,2087,4817840,4704.922
gr216_r162_m9_multilinear,"GR(2^16,162)",16,162,128,9,3,512,19683,39609,81/163,25260,23220,48480,2559,6132376,5988.648
gr216_r162_m10_multilinear,"GR(2^16,162)",16,162,128,10,3,1024,59049,124173,243/511,18940,41550,60490,1526,6873864,6712.758
