case,ring,k_exp,r,lambda_target,variable_count,max_layer_width,poly_dim,message_length,n_0,rho,commit_ms,open_ms,prove_ms,verify_ms,proof_size_bytes,proof_size_kb
gr216_r162_m4_multilinear,"GR(2^16,162)",16,162,128,4,3,16,81,189,3/7,18.01,78.18,96.19,60.6,99220,96.895
gr216_r162_m5_multilinear,"GR(2^16,162)",16,162,128,5,3,32,243,513,9/19,79.21,174,253.21,117.9,259940,253.848
gr216_r162_m6_multilinear,"GR(2^16,162)",16,162,128,6,3,64,729,1539,9/19,364.9,561.1,926,294.5,753524,735.863
gr216_r162_m7_multilinear,"GR(2^16,162)",16,162,128,7,3,128,2187,4617,9/19,2195,2589,4784,970,2289312,2235.656
gr216_r162_m8_multilinear,"GR(2^16,162)",16,162,128,8,3,256,6561,13203,81/163,58270,15250,73520,3095,4817840,4704.922
gr216_r162_m9_multilinear,"GR(2^16,162)",16,162,128,9,3,512,19683,39609,81/163,189240,68460,257700,3786,6132376,5988.648
gr216_r162_m10_multilinear,"GR(2^16,162)",16,162,128,10,3,1024,59049,124173,243/511,143280,114660,257940,2449,6873864,6712.758
