case,ring,k_exp,r,lambda_target,variable_count,max_layer_width,poly_dim,message_length,n_0,rho,commit_ms,open_ms,prove_ms,verify_ms,proof_size_bytes,proof_size_kb
gr216_r162_m4_multiquadratic,"GR(2^16,162)",16,162,128,4,3,81,81,189,3/7,82.148548,90.355475,172.504023,60.446175,100516,98.160
gr216_r162_m5_multiquadratic,"GR(2^16,162)",16,162,128,5,3,243,243,513,9/19,608.794867,173.664571,782.459438,98.923122,261560,255.430
gr216_r162_m6_multiquadratic,"GR(2^16,162)",16,162,128,6,3,729,729,1539,9/19,975.289000,588.294454,1563.583454,244.267770,755404,737.699
gr216_r162_m7_multiquadratic,"GR(2^16,162)",16,162,128,7,3,2187,2187,4617,9/19,14046.335467,1795.660001,15841.995468,570.419563,2291644,2237.934
gr216_r162_m8_multiquadratic,"GR(2^16,162)",16,162,128,8,3,6561,6561,13203,81/163,9184.022706,8660.680866,17844.703572,2090.124880,4814064,4701.234
gr216_r162_m9_multiquadratic,"GR(2^16,162)",16,162,128,9,3,19683,19683,39609,81/163,25531.010972,26734.286323,52265.297295,2603.968051,6131452,5987.746
gr216_r162_m10_multiquadratic,"GR(2^16,162)",16,162,128,10,3,59049,59049,124173,243/511,23596.945138,47851.930553,71448.875691,1473.417776,6901488,6739.734
