case,ring,k_exp,r,lambda_target,variable_count,max_layer_width,poly_dim,message_length,n_0,rho,commit_ms,open_ms,prove_ms,verify_ms,proof_size_bytes,proof_size_kb
gr216_r162_m4_multiquadratic,"GR(2^16,162)",16,162,128,4,3,81,81,189,3/7,84.851775,91.889898,176.741673,71.404193,101180,98.809
gr216_r162_m5_multiquadratic,"GR(2^16,162)",16,162,128,5,3,243,243,513,9/19,670.650091,185.110815,855.760906,109.621593,262224,256.078
gr216_r162_m6_multiquadratic,"GR(2^16,162)",16,162,128,6,3,729,729,1539,9/19,971.931282,601.591640,1573.522922,220.182597,756004,738.285
gr216_r162_m7_multiquadratic,"GR(2^16,162)",16,162,128,7,3,2187,2187,4617,9/19,14114.695844,1833.407882,15948.103726,593.504894,2292800,2239.062
gr216_r162_m8_multiquadratic,"GR(2^16,162)",16,162,128,8,3,6561,6561,13203,81/163,9236.520742,8868.737055,18105.257797,2196.568898,4816596,4703.707
gr216_r162_m9_multiquadratic,"GR(2^16,162)",16,162,128,9,3,19683,19683,39609,81/163,25154.181026,26973.964643,52128.145669,2831.130454,6127808,5984.188
gr216_r162_m10_multiquadratic,"GR(2^16,162)",16,162,128,10,3,59049,59049,124173,243/511,23449.965533,48204.640343,71654.605876,1795.026588,6902656,6740.875
