case,ring,k_exp,r,lambda_target,variable_count,max_layer_width,poly_dim,message_length,n_0,rho,commit_ms,open_ms,prove_ms,verify_ms,proof_size_bytes,proof_size_kb
gr216_r162_m4_multiquadratic,"GR(2^16,162)",16,162,128,4,3,81,81,189,3/7,86.256996,91.020939,177.277935,71.106596,101180,98.809
gr216_r162_m5_multiquadratic,"GR(2^16,162)",16,162,128,5,3,243,243,513,9/19,664.514988,205.365855,869.880843,128.005503,262224,256.078
gr216_r162_m6_multiquadratic,"GR(2^16,162)",16,162,128,6,3,729,729,1539,9/19,7438.273284,715.919956,8154.193240,305.099024,756004,738.285
gr216_r162_m7_multiquadratic,"GR(2^16,162)",16,162,128,7,3,2187,2187,4617,9/19,106972.378490,3633.946360,110606.324850,929.574671,2292800,2239.062
gr216_r162_m8_multiquadratic,"GR(2^16,162)",16,162,128,8,3,6561,6561,13203,81/163,62158.576492,23381.782640,85540.359132,3158.442521,4816596,4703.707
gr216_r162_m9_multiquadratic,"GR(2^16,162)",16,162,128,9,3,19683,19683,39609,81/163,189819.403573,85971.096024,275790.499597,3940.423882,6127808,5984.188
gr216_r162_m10_multiquadratic,"GR(2^16,162)",16,162,128,10,3,59049,59049,124173,243/511,174927.170320,132137.643378,307064.813698,2772.219498,6902656,6740.875
